current	voltage	short	iac	ref	rupture_10	rupture_5
2100	128	1	0	1715	0	0
2040	102	1	0	1744	0	0
1987	79	1	0	1780	0	0
1974	64	1	0	1821	0	0
2002	58	1	0	1865	0	0
2017	59	1	0	1906	0	0
2035	63	1	0	1944	0	0
2010	65	1	0	1977	0	0
2023	63	1	0	2007	0	0
2036	64	1	0	2034	0	0
2077	65	1	0	2060	0	0
2087	67	1	0	2083	0	0
2107	67	1	0	2103	0	0
2100	69	1	0	2122	0	0
2135	69	1	0	2139	0	0
2151	68	1	0	2154	0	0
2179	69	1	0	2169	0	0
2182	69	1	0	2183	0	0
2203	68	1	0	2196	0	0
2193	70	1	0	2208	0	0
2215	69	1	0	2219	0	0
2226	70	1	0	2230	0	0
2256	70	1	0	2239	0	0
2236	73	1	0	2249	0	0
2280	69	1	0	2257	0	0
2264	72	1	0	2266	0	0
2280	70	1	0	2273	0	0
2290	71	1	0	2282	0	0
2303	70	1	0	2289	0	0
2303	70	1	0	2297	0	0
2311	70	1	0	2304	0	0
2298	71	1	0	2311	0	0
2305	67	1	0	2318	0	0
2318	71	1	0	2326	0	0
2342	71	1	0	2332	0	0
2339	72	1	0	2338	0	0
2352	72	1	0	2344	0	0
2329	73	1	0	2349	0	0
2342	73	1	0	2355	0	0
2355	73	1	0	2360	0	0
2383	73	1	0	2365	0	0
2373	74	1	0	2370	0	0
2373	73	1	0	2375	0	0
2349	72	1	0	2381	0	0
2368	72	1	0	2386	0	0
2383	74	1	0	2392	0	0
2406	75	1	0	2397	0	0
2396	77	1	0	2402	0	0
2401	76	1	0	2406	0	0
2383	77	1	0	2411	0	0
2396	76	1	0	2415	0	0
2406	77	1	0	2420	0	0
2424	79	1	0	2424	0	0
2422	80	1	0	2428	0	0
2435	79	1	0	2431	0	0
2406	80	1	0	2435	1	0
2419	80	1	0	2439	1	0
2421	81	1	0	2443	1	0
2445	83	1	0	2447	1	0
2430	85	1	0	2450	1	0
2437	85	1	0	2452	1	1
2403	88	1	0	2455	1	1
2411	90	1	0	2456	1	1
2376	95	1	0	2458	1	1
2373	103	1	0	2457	1	1
1951	131	1	0	1641	0	0
1961	107	1	0	1666	0	0
1927	82	1	0	1698	0	0
1927	62	1	0	1737	0	0
1899	57	1	0	1781	0	0
1929	51	1	0	1822	0	0
1955	54	1	0	1862	0	0
1974	55	1	0	1897	0	0
1974	56	1	0	1929	0	0
1978	54	1	0	1958	0	0
1976	54	1	0	1986	0	0
1999	54	1	0	2011	0	0
2023	56	1	0	2034	0	0
2032	57	1	0	2055	0	0
2069	59	1	0	2074	0	0
2105	59	1	0	2091	0	0
2097	60	1	0	2107	0	0
2120	60	1	0	2121	0	0
2125	59	1	0	2135	0	0
2153	59	1	0	2148	0	0
2166	59	1	0	2160	0	0
2187	59	1	0	2172	0	0
2164	57	1	0	2183	0	0
2192	59	1	0	2194	0	0
2210	59	1	0	2204	0	0
2236	59	1	0	2214	0	0
2236	60	1	0	2224	0	0
2242	58	1	0	2232	0	0
2231	59	1	0	2241	0	0
2244	58	1	0	2250	0	0
2256	58	1	0	2258	0	0
2278	58	1	0	2267	0	0
2277	59	1	0	2275	0	0
2280	57	1	0	2282	0	0
2267	59	1	0	2291	0	0
2288	58	1	0	2298	0	0
2306	59	1	0	2305	0	0
2327	60	1	0	2312	0	0
2321	60	1	0	2318	0	0
2329	60	1	0	2325	0	0
2308	60	1	0	2331	0	0
2324	59	1	0	2337	0	0
2345	62	1	0	2344	0	0
2360	60	1	0	2350	0	0
2355	61	1	0	2356	0	0
2360	60	1	0	2362	0	0
2349	61	1	0	2368	0	0
2367	60	1	0	2374	0	0
2380	61	1	0	2380	0	0
2399	61	1	0	2386	0	0
2391	62	1	0	2392	0	0
2401	60	1	0	2397	0	0
2390	62	1	0	2404	0	0
2409	59	1	0	2409	0	0
2421	61	1	0	2416	0	0
2439	62	1	0	2422	0	0
2435	62	1	0	2427	0	0
2445	62	1	0	2432	0	0
2426	62	1	0	2438	0	0
2450	61	1	0	2443	0	0
2453	62	1	0	2449	0	0
2478	62	1	0	2454	0	0
2468	63	1	0	2460	0	0
2479	62	1	0	2465	0	0
2466	62	1	0	2470	0	0
2478	62	1	0	2476	0	0
2491	63	1	0	2481	0	0
2506	62	1	0	2486	0	0
2499	63	1	0	2492	0	0
2504	62	1	0	2497	0	0
2489	63	1	0	2503	0	0
2497	63	1	0	2508	0	0
2517	63	1	0	2514	0	0
2542	64	1	0	2520	0	0
2532	65	1	0	2525	0	0
2542	62	1	0	2530	0	0
2520	64	1	0	2536	0	0
2535	63	1	0	2541	0	0
2548	64	1	0	2547	0	0
2574	65	1	0	2552	0	0
2568	65	1	0	2557	0	0
2571	65	1	0	2562	0	0
2551	65	1	0	2567	0	0
2566	63	1	0	2572	0	0
2576	64	1	0	2578	0	0
2602	64	1	0	2584	0	0
2589	65	1	0	2589	0	0
2600	65	1	0	2594	0	0
2586	66	1	0	2599	0	0
2599	65	1	0	2604	0	0
2614	66	1	0	2609	0	0
2632	66	1	0	2614	0	0
2628	67	1	0	2619	0	0
2628	65	1	0	2624	0	0
2610	66	1	0	2629	0	0
2612	61	1	0	2634	0	0
2636	66	1	0	2641	0	0
2663	65	1	0	2646	0	0
2659	68	1	0	2651	0	0
2671	67	1	0	2656	0	0
2643	68	1	0	2660	0	0
2658	66	1	0	2665	0	0
2663	66	1	0	2670	0	0
2690	67	1	0	2675	0	0
2682	68	1	0	2680	0	0
2692	67	1	0	2685	0	0
2658	71	1	0	2690	0	0
2685	67	1	0	2693	0	0
2705	68	1	0	2698	0	0
2726	68	1	0	2703	0	0
2718	69	1	0	2708	0	0
2694	68	1	0	2713	0	0
2712	66	1	0	2718	0	0
2728	68	1	0	2723	0	0
2743	69	1	0	2728	0	0
2733	70	1	0	2733	0	0
2717	68	1	0	2737	0	0
2721	68	1	0	2742	0	0
2749	68	1	0	2748	0	0
2761	70	1	0	2753	0	0
2774	70	1	0	2757	0	0
2757	70	1	0	2762	0	0
2767	68	1	0	2766	0	0
2746	69	1	0	2771	0	0
2767	69	1	0	2776	0	0
2756	71	1	0	2781	0	0
2800	71	1	0	2786	0	0
2806	72	1	0	2790	0	0
2811	71	1	0	2794	0	0
2788	72	1	0	2799	0	0
2793	70	1	0	2803	0	0
2798	69	1	0	2808	0	0
2823	70	1	0	2813	0	0
2820	72	1	0	2818	0	0
2816	68	1	0	2822	0	0
2806	72	1	0	2828	0	0
2826	71	1	0	2832	0	0
2836	72	1	0	2837	0	0
2857	72	1	0	2842	0	0
2847	73	1	0	2846	0	0
2852	71	1	0	2850	0	0
2836	73	1	0	2855	0	0
2851	71	1	0	2859	0	0
2846	69	1	0	2864	0	0
2872	73	1	0	2870	0	0
2873	74	1	0	2874	0	0
2885	74	1	0	2878	0	0
2870	75	1	0	2882	0	0
2877	74	1	0	2885	0	0
2883	75	1	0	2890	0	0
2903	74	1	0	2894	0	0
2895	75	1	0	2898	0	0
2895	71	1	0	2902	0	0
2883	76	1	0	2908	0	0
2895	74	1	0	2911	0	0
2913	75	1	0	2916	0	0
2931	76	1	0	2920	0	0
2923	77	1	0	2924	0	0
2929	77	1	0	2927	0	0
2905	77	1	0	2931	0	0
2919	76	1	0	2934	0	0
2947	77	1	0	2939	0	0
2940	79	1	0	2943	0	0
2940	78	1	0	2946	0	0
2921	79	1	0	2949	0	0
2931	78	1	0	2953	0	0
2942	79	1	0	2957	0	0
2962	80	1	0	2960	0	0
2949	81	1	0	2963	0	0
2963	83	1	0	2966	1	0
2934	83	1	1	2969	1	0
2944	83	1	1	2971	1	0
2945	84	1	1	2974	1	0
2972	87	1	1	2976	1	0
2962	88	1	1	2978	1	1
2960	89	1	1	2979	1	1
2909	89	1	1	2980	1	1
2906	96	1	1	2981	1	1
2756	112	1	1	2980	1	1
2238	138	1	0	1859	0	0
2231	110	1	0	1885	0	0
2164	86	1	0	1920	0	0
2128	68	1	0	1960	0	0
2108	60	1	0	2004	0	0
2141	59	1	0	2046	0	0
2167	63	1	0	2086	0	0
2188	65	1	0	2120	0	0
2180	67	1	0	2151	0	0
2192	65	1	0	2178	0	0
2182	67	1	0	2204	0	0
2215	66	1	0	2227	0	0
2234	68	1	0	2249	0	0
2270	70	1	0	2268	0	0
2272	68	1	0	2286	0	0
2295	70	1	0	2302	0	0
2285	70	1	0	2317	0	0
2316	71	1	0	2331	0	0
2341	72	1	0	2344	0	0
2370	73	1	0	2355	0	0
2376	74	1	0	2366	0	0
2385	73	1	0	2375	0	0
2373	73	1	0	2385	0	0
2385	71	1	0	2394	0	0
2398	72	1	0	2404	0	0
2435	76	1	0	2412	0	0
2426	74	1	0	2419	0	0
2411	73	1	0	2427	0	0
2437	73	1	0	2434	0	0
2447	74	1	0	2442	0	0
2463	75	1	0	2448	0	0
2442	71	1	0	2455	0	0
2455	74	1	0	2462	0	0
